GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,RdfNamespaceRegistry.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,DefaultRdfStream,101,48,0,0,13,10,11,5,11,5
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,LdpTriplePreferences.PreferChoice,34,0,0,0,4,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,RdfNamespaceRegistry,0,42,0,2,0,10,0,5,0,4
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.services.functions,ConfigurableHierarchicalSupplier,0,70,1,3,0,17,1,5,0,4
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.observer,EventType,10,87,0,0,3,11,3,2,3,2
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api,TransactionUtils,0,10,1,3,0,1,1,2,0,1
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api,RequiredRdfContext,64,0,0,0,7,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api,RdfLexicon,38,231,15,5,2,106,11,4,2,3
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api,RdfCollectors,6,18,0,0,2,2,1,2,1,2
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.services,VersionService,0,10,0,0,0,3,0,1,0,1
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InteractionModelViolationException,0,4,0,0,0,2,0,1,0,1
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,TransactionNotFoundException,5,4,0,0,2,2,1,1,1,1
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,OutOfDomainSubjectException,11,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,UnsupportedMediaTypeException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,IdentifierConversionException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InvalidPrefixException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,PathNotFoundRuntimeException,0,5,0,0,0,2,0,1,0,1
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ResourceTypeException,0,4,0,0,0,2,0,1,0,1
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InterruptedRuntimeException,5,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,IncorrectTripleSubjectException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,MalformedRdfException,4,5,0,0,2,2,1,1,1,1
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,CannotCreateResourceException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ItemExistsException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InvalidACLException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RepositoryVersionRuntimeException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ExternalMessageBodyException,9,0,0,0,4,0,2,0,2,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ItemNotFoundException,9,0,0,0,4,0,2,0,2,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,TransactionRuntimeException,5,4,0,0,2,2,1,1,1,1
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ConstraintViolationException,0,9,0,0,0,4,0,2,0,2
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InvalidChecksumException,0,4,0,0,0,2,0,1,0,1
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RepositoryException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,AccessDeniedException,5,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,CannotCreateMementoException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,NoSuchPropertyDefinitionException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,PreconditionException,22,0,4,0,6,0,4,0,2,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,PathNotFoundException,0,9,0,0,0,4,0,2,0,2
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RepositoryConfigurationException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,MultipleConstraintViolationException,41,0,2,0,10,0,4,0,3,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InvalidMementoPathException,5,4,0,0,2,2,1,1,1,1
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ServerManagedTypeException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,SessionMissingException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RepositoryRuntimeException,0,9,0,0,0,4,0,2,0,2
Fedora Repository Kernel Implementation/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ExternalContentAccessException,5,0,0,0,2,0,1,0,1,0
